api_uri,district,domain,facebook_account,facebook_id,first_name,id,last_name,middle_name,missed_votes_pct,party,rss_url,seniority,state,thomas_id,twitter_account,url,votes_with_party_pct
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000014.json,1,,,,Neil,A000014,Abercrombie,,3.29,D,,18,HI,2,neilabercrombie,,89.18
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000022.json,5,,,,Gary,A000022,Ackerman,L.,3.95,D,,24,NY,4,repgaryackerman,,93.14
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000055.json,4,aderholt.house.gov,RobertAderholt,19787529402,Robert,A000055,Aderholt,B.,0.16,R,http://aderholt.house.gov/common/rss//index.cfm?rss=20,10,AL,1460,Robert_Aderholt,http://aderholt.house.gov/,94.55
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000210.json,1,andrews.house.gov,,,Robert,A000210,Andrews,E.,8.57,D,http://andrews.house.gov/rss.xml,18,NJ,21,RepAndrews,http://www.house.gov/andrews,92.70
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000357.json,1,,,,Thomas,A000357,Allen,H.,0.99,D,,10,ME,1461,,,94.59
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000358.json,2,,,,Todd,A000358,Akin,,1.24,R,,6,MO,1655,reptoddakin,,91.74
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000361.json,5,alexander.house.gov,RepRodneyAlexander,20002702544,Rodney,A000361,Alexander,,1.24,R,http://alexander.house.gov/common/rss/?rss=24,4,LA,1727,USRepAlexander,http://www.house.gov/alexander,96.08
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000013.json,6,bachus.house.gov,SpencerBachus,6769692966,Spencer,B000013,Bachus,,4.61,R,http://bachus.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=1,14,AL,38,BachusAL06,http://bachus.house.gov/,94.65
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000072.json,6,,,,Richard,B000072,Baker,Hugh,5.77,R,,20,LA,47,,,95.28
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000208.json,6,,,,Roscoe,B000208,Bartlett,G.,0.49,R,,14,MD,60,,,84.93
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000213.json,6,joebarton.house.gov,RepJoeBarton,15617630596,Joe,B000213,Barton,L.,6.18,R,http://joebarton.house.gov/index.php?option=com_content&amp;view=category&amp;layout=blog&amp;id=27&amp;format=feed&amp;type=rss,22,TX,62,RepJoeBarton,http://joebarton.house.gov/,92.27
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000220.json,2,,,,Charles,B000220,Bass,F.,1.48,R,,12,NH,63,RepCharlesBass,,87.21
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000287.json,31,becerra.house.gov,XavierBecerra,90311772229,Xavier,B000287,Becerra,,6.10,D,http://becerra.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=2,14,CA,70,repbecerra,http://becerra.house.gov/,95.44
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000410.json,28,,,,Howard,B000410,Berman,L.,7.08,D,,24,CA,82,RepHowardBerman,,94.59
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000420.json,1,,,,Marion,B000420,Berry,,0.41,D,,10,AR,1462,,,83.37
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000461.json,50,,,,Brian,B000461,Bilbray,P.,2.09,R,,2,CA,87,BilbrayCA50,,89.68
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000463.json,9,,,,Michael,B000463,Bilirakis,,4.04,R,,24,FL,89,,,91.85
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000490.json,2,bishop.house.gov,sanfordbishop,366739521606,Sanford,B000490,Bishop Jr.,D.,3.79,D,http://bishop.house.gov/rss.xml,14,GA,91,SanfordBishop,http://bishop.house.gov/,85.53
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000574.json,3,blumenauer.house.gov,,,Earl,B000574,Blumenauer,,5.52,D,http://blumenauer.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=1,12,OR,99,blumenauermedia,http://blumenauer.house.gov/,90.67
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000575.json,7,,SenatorBlunt,142473042477322,Roy,B000575,Blunt,,2.88,R,http://www.blunt.senate.gov/public/?a=RSS.Feed,10,MO,1464,RoyBlunt,http://www.blunt.senate.gov,95.67
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000586.json,24,,,,Sherwood,B000586,Boehlert,L.,3.54,R,,24,NY,101,,,85.74
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000589.json,8,johnboehner.house.gov,,,John,B000589,Boehner,A.,2.47,R,http://boehner.house.gov/News/Rss.aspx,16,OH,102,SpeakerBoehner,http://johnboehner.house.gov/,95.69
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000617.json,23,,,,Henry,B000617,Bonilla,,1.07,R,,14,TX,107,,,95.17
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000652.json,3,,,,Leonard,B000652,Boswell,L.,12.11,D,,10,IA,1466,LeonardBoswell,,87.07
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000657.json,9,,,,Rick,B000657,Boucher,,3.62,D,,24,VA,113,,,88.03
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000716.json,2,,,,Allen,B000716,Boyd,,5.02,D,,10,FL,1467,,,83.26
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000755.json,8,kevinbrady.house.gov,kevinbrady,9307301412,Kevin,B000755,Brady,,6.10,R,http://kevinbrady.house.gov/common/rss/index.cfm?rss=49,10,TX,1468,RepKevinBrady,http://kevinbrady.house.gov/,93.51
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000911.json,3,corrinebrown.house.gov,congresswomanbrown,179120958813519,Corrine,B000911,Brown,,12.19,D,http://corrinebrown.house.gov/index.php?option=com_ninjarsssyndicator&amp;feed_id=1&amp;format=raw,14,FL,132,RepCorrineBrown,http://corrinebrown.house.gov/,94.84
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000944.json,13,www.brown.senate.gov,,,Sherrod,B000944,Brown,,6.67,D,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,14,OH,136,SenSherrodBrown,http://www.brown.senate.gov,93.73
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001149.json,5,,,,Dan,B001149,Burton,,6.67,R,,24,IN,154,RepDanBurton,,92.67
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001203.json,4,,,,Steve,B001203,Buyer,,7.50,R,,14,IN,160,,,93.86
